"dept_id","dept_name","n_clusters","flag_1cluster","urban_pct","ndvi_mean","direct_mean","eblup","se_direct","se_eblup","cv_direct","cv_eblup","gamma","cv_gain","resid"
"NE001002","Arlit",10,0,54.1578017469209,0.4942,98212.3946247121,227456.140466113,46898.6623916903,20212.6272041081,47.752284801627,8.88638449711119,0.0145285607556566,38.8659003045158,-129243.745841401
"NE004001","Aguié",4,0,0,0.5773,-28135.603738253,-39089.158524501,13177.1537951275,5398.86975785627,46.834444775791,13.8116806849968,0.157361208753324,33.0227640907942,10953.554786248
"NE001006","Tchirozerine",18,0,61.6845595552859,0.5702,34883.1108095701,24518.8498838318,20767.8233065804,6660.41298403924,59.5354680950151,27.1644592450123,0.069925449223837,32.3710088500028,10364.2609257383
"NE004006","Madarounfa",11,0,7.02269387977176,0.4279,-18592.0183779078,-29657.2515389598,8641.51486583342,4893.73466748288,46.4797026884494,16.5009716461896,0.302761700814568,29.9787310422598,11065.233161052
"NE006010","Say",4,0,11.8687329131701,0.233,-27564.6692435169,-17559.2653834919,17089.6688553149,5694.17748103767,61.9984542688982,32.4283354495626,0.0999326029890995,29.5701188193356,-10005.403860025
"NE005001","Abalak",6,0,18.1673523383046,0.2446,-38838.3719162181,-39449.4142828149,16664.9948214681,5743.11986358749,42.9085824128204,14.5581879173535,0.104551380023908,28.3503944954669,611.042366596841
"NE002003","Goudoumaria",9,0,0,0.5462,-26565.7643119672,-37115.1218694491,10461.5902638375,5182.00931315939,39.3799709317032,13.9619892166511,0.228562426844971,25.4179817150521,10549.3575574819
"NE002004","Maïné Soroa",10,0,13.7687823097827,0.3757,-24398.0232072323,-25317.9770010661,11164.8507285395,5222.28476015636,45.7612923543329,20.6267853072797,0.206432282490056,25.1345070470532,919.953793833789
"NE005008","Malbaza",9,0,0,0.3389,-29374.7812119612,-36988.6185667113,11554.1411828303,5306.45482271453,39.3335395401193,14.3461827673937,0.195428815101188,24.9873567727256,7613.83735475006
"NE005007","Madaoua",10,0,19.2648371426663,0.1123,-32638.1692645956,-30619.6650463499,11515.6733038279,5324.27644111441,35.2828408066367,17.3884215684753,0.196479685435692,17.8944192381614,-2018.50421824571
"NE006006","Filingué",9,0,10.8749912730814,0.1762,-35550.5668070083,-36919.6794377649,10739.5600601806,5172.30543296784,30.2092512855898,14.0096163123159,0.219446696773762,16.1996349732739,1369.11263075659
"NE004003","Dakoro",11,0,6.24739080604901,0.4464,-34752.8268564092,-33630.4509290219,9871.96686812648,5086.94787827203,28.4062269492931,15.1260174566443,0.249660525705887,13.2802094926488,-1122.37592738731
"NE006001","Abala",4,0,0,0.1714,-46563.114511909,-44419.1758235419,9188.54346621069,4990.60983748062,19.7335241908284,11.2352598735874,0.277491219447479,8.49826431724103,-2143.93868836712
"NE007005","Kantché",8,0,4.00309187913601,0.1638,-36542.4501750481,-36779.1439499438,7025.07626790834,4563.30052599759,19.224425932734,12.4073048905331,0.396517333960548,6.81712104220089,236.693774895663
"NE002001","Bosso",4,0,0,0.1228,-35762.2057630366,-39747.7096747894,5941.42971847854,4237.41073436889,16.6137115754184,10.6607670455451,0.478781498216813,5.95294452987331,3985.50391175281
"NE004007","Ville de Maradi",8,0,100,0.4543,86594.8269018925,79438.4825981459,13111.228244281,7409.24914881211,15.1408908746193,9.32702753940198,0.158695902287011,5.81386333521732,7156.34430374662
"NE007006","Magaria",7,0,8.3280346590396,0.4767,-40679.1961433707,-37645.6500875564,7186.96192067706,4588.70889373042,17.6674138184716,12.1892141138697,0.385667077421438,5.47819970460192,-3033.54605581426
"NE006007","Gothèye",5,0,0,0.1694,-35536.8875888905,-39131.8373997683,5700.1939728862,4153.39666649477,16.040217249268,10.6138554754379,0.499493543730848,5.42636177383008,3594.94981087781
"NE005013","Ville de Tahoua",4,0,100,0.2158,60332.8636269354,71224.6741007733,8225.49197180396,6361.211099981,13.6335182474775,8.93119018134185,0.323988594547688,4.70232806613565,-10891.8104738379
"NE004009","Tessaoua",12,0,8.33482131941885,0.3971,-43113.5738971186,-34981.8252948415,7857.14656890071,4757.310857565,18.2242988893709,13.5993785843603,0.344371695816085,4.62492030501064,-8131.74860227705
"NE003003","Dogondoutchi",11,0,12.7676301089981,0.3863,-43866.9918655146,-40041.906967,6544.35497781053,4437.11920831464,14.918631753629,11.0811885457189,0.430887498266022,3.83744320791006,-3825.0848985146
"NE003008","Tibiri",7,0,0,0.264,-42059.1072769158,-45471.2199662875,5057.69869112295,3880.49478960206,12.0252164598341,8.53395794632093,0.559011545505424,3.49125851351317,3412.11268937166
