"dept_id","dept_name","region_name","n_hh","n_clusters","urban_pct","direct_mean","se_direct","cv_direct","psi"
"NE006002","Ayerou","Tillabéri",22,1,0,-28641.5454545455,1.81898940354585e-12,6.35087728220747e-15,3.3087224502121e-24
"NE006003","Balleyara","Tillabéri",24,1,0,-50872.0416666667,2.41584530158438e-12,4.74886641549386e-15,5.8363085211873e-24
"NE006004","Banibangou","Tillabéri",49,2,0,-45707.3330406185,2094.78039895417,4.58302915440858,4388104.9198426
"NE006006","Filingué","Tillabéri",204,9,10.8749912730814,-35550.5668070083,10739.5600601806,30.2092512855898,115338150.286226
"NE006007","Gothèye","Tillabéri",105,5,0,-35536.8875888905,5700.1939728862,16.040217249268,32492211.3285281
"NE006008","Kollo","Tillabéri",183,8,5.3246971789536,-17071.1976746333,15188.4661057517,88.9712977099479,230689502.645568
"NE006009","Ouallam","Tillabéri",138,6,0,-51323.7877799424,2690.92913692499,5.24304470368148,7241099.61995187
"NE006010","Say","Tillabéri",84,4,11.8687329131701,-27564.6692435169,17089.6688553149,61.9984542688982,292056781.584319
"NE006011","Téra","Tillabéri",184,9,4.10935255948579,-44916.3728756843,1791.70334556639,3.98897602556936,3210200.87851379
"NE006012","Tillabéri","Tillabéri",131,6,14.2846466696927,-13661.0931900157,23619.7519822093,172.897963974596,557892683.701082
"NE006013","Torodi","Tillabéri",67,3,0,-47161.671132323,3847.31809296741,8.15772215147522,14801856.5084744
"NE007001","Belbedji","Zinder",19,1,0,-65559.9473684211,7.95807864051304e-13,1.21386287816733e-15,6.33310156485899e-25
"NE007002","Damagaram Takaya","Zinder",138,7,0,-51310.5992495369,1880.91134836456,3.66573646746395,3537827.50040658
"NE007003","Dungass","Zinder",200,9,0,-48136.3570118888,1755.31747493319,3.64655238554853,3081139.43780581
"NE007004","Gouré","Zinder",190,9,0,-46324.697867452,4971.14600016833,10.7310921150359,24712292.5549896
"NE007005","Kantché","Zinder",188,8,4.00309187913601,-36542.4501750481,7025.07626790834,19.224425932734,49351696.569929
"NE007006","Magaria","Zinder",146,7,8.3280346590396,-40679.1961433707,7186.96192067706,17.6674138184716,51652421.649262
"NE007007","Mirriah","Zinder",411,18,43.2324476752052,10688.290840776,18812.2779070583,176.008289700437,353901800.052393
"NE007008","Takeita","Zinder",76,4,0,-49694.1276610645,5373.01225252654,10.8121673634616,28869260.6658003
"NE007009","Tanout","Zinder",286,13,3.13900048310293,-52095.2904730359,4197.71318810602,8.05775944426057,17620796.0095992
"NE007010","Tesker","Zinder",16,1,0,-68333.4375,0,0,0
"NE007011","Ville de Zinder","Zinder",21,1,0,-31960.4761904762,9.09494701772926e-13,2.84568570365652e-15,8.27180612553024e-25
"NE008001","Ville de Niamey","Niamey",1135,49,100,145844.683409441,7524.75307564205,5.15942912674932,56621908.8493846
