cluster,longitude,latitude
361,5.389533,13.982476
362,9.413296,14.09323
363,7.462562,14.928819
364,0.244334,14.670091
365,5.806604,15.887656
366,5.259669,13.801841
367,7.103024,13.507565
368,13.631731,14.59212
369,4.040672,12.998145
370,2.098873,13.540987
371,9.262598,17.961667
372,2.604898,12.756731
373,5.226551,14.456919
374,11.862951,13.767306
375,4.140428,13.489178
376,3.352319,15.002088
377,12.430391,13.168832
378,6.160115,14.850397
379,6.468384,14.427468
380,10.296373,13.952033
381,7.98819,13.770329
382,3.235985,13.613087
383,1.387005,14.270113
384,10.872287,13.763777
385,7.089754,13.492161
386,5.588993,13.959652
387,3.498366,14.412576
388,10.346394,14.587548
389,8.61156,13.431598
390,1.111649,14.545061
391,7.169301,14.33245
392,4.015487,13.644047
393,7.358695,13.632134
394,7.388881,18.734636
395,2.105594,13.522677
396,7.988516,16.98206
397,0.927019,14.205479
398,4.112273,13.308742
399,7.791825,13.94462
400,9.73801,13.247352
401,9.149503,13.703105
402,5.633584,14.368769
403,6.695431,13.655324
404,2.086769,13.491706
405,9.875133,14.67985
406,5.931099,15.289126
407,12.604863,13.322694
408,7.701917,14.323503
409,1.823137,13.145988
410,8.919123,12.997745
411,7.931223,18.881673
412,2.050304,13.703406
413,7.325612,13.500639
414,2.125692,13.499003
415,4.02512,13.642452
416,7.729385,16.25028
417,12.455944,13.696293
418,8.799948,13.97591
419,4.765462,14.712402
421,7.091719,13.488616
422,1.245267,13.935212
423,9.106018,13.533424
424,8.330611,13.5749
425,9.144019,13.709122
426,6.247119,15.075536
427,11.844887,13.653457
428,13.211367,15.463391
429,9.204301,13.443726
430,3.190845,13.049808
432,7.355555,13.538984
433,5.970724,14.828225
434,8.871188,13.144635
435,7.38391,18.741517
436,0.952831,14.226064
437,5.276935,14.889776
438,2.911136,13.0817
439,6.968447,13.478523
440,1.263004,13.915756
441,7.395965,18.750433
442,9.076385,13.131415
443,13.309248,13.699271
444,7.857766,15.632772
445,4.251351,15.840418
446,2.095351,13.531224
447,11.427572,13.469632
448,6.925594,17.886644
449,3.484271,13.790177
450,2.098533,13.522348
451,6.964267,13.842445
452,12.821821,13.406338
453,2.932115,13.519557
454,3.722536,13.741673
455,8.319851,13.561873
457,4.10833,15.022004
458,13.283211,14.39346
459,5.952663,14.38402
460,2.125476,13.508208
461,8.457025,13.348458
463,3.618573,14.477713
464,2.133127,13.520557
465,7.823618,13.892522
466,2.12128,13.512628
467,2.440743,14.973511
468,7.998353,16.986658
469,7.791818,13.488562
470,2.103059,13.527398
471,5.274417,14.876967
472,3.455539,11.898409
473,7.981682,16.976186
474,11.942577,13.373384
475,2.124134,13.512743
476,0.938332,14.704985
477,3.013597,13.923074
478,7.79066,13.521668
479,3.997192,13.106934
480,5.259664,14.879456
